timestamp,rtt_ms,bandwidth_kbps,bandwidth_mbps,inference_ms,error_rate_pct,network_ok,bandwidth_ok
2026-05-20T09:45:53.006229,3.77,965.71,0.9431,0.0,0.0,1,1
2026-05-20T09:45:56.160146,4.42,1167.15,1.1398,0.0,0.0,1,1
2026-05-20T09:45:59.255727,2.71,1152.12,1.1251,0.0,0.0,1,1
2026-05-20T09:46:02.363725,3.4,1334.86,1.3036,0.0,0.0,1,1
2026-05-20T09:46:05.497605,5.07,1233.71,1.2048,0.0,0.0,1,1
2026-05-20T09:46:08.626624,3.3,821.83,0.8026,0.0,0.0,1,1
2026-05-20T09:46:11.733273,3.85,2827.06,2.7608,0.0,0.0,1,1
2026-05-20T09:46:14.910552,4.78,1296.49,1.2661,0.0,0.0,1,1
2026-05-20T09:46:18.091675,3.87,3254.55,3.1783,0.0,0.0,1,1
2026-05-20T09:46:21.214606,2.57,3160.15,3.0861,0.0,0.0,1,1
2026-05-20T09:46:24.345954,3.89,998.88,0.9755,0.0,0.0,1,1
2026-05-20T09:46:27.444076,4.66,736.76,0.7195,0.0,0.0,1,1
2026-05-20T09:46:30.557180,2.71,3084.9,3.0126,0.0,0.0,1,1
2026-05-20T09:46:33.673360,4.63,1061.48,1.0366,0.0,0.0,1,1
2026-05-20T09:46:36.793077,3.02,2956.86,2.8876,0.0,0.0,1,1
2026-05-20T09:46:39.885410,4.45,1216.0,1.1875,0.0,0.0,1,1
2026-05-20T09:46:43.023092,2.77,2932.05,2.8633,0.0,0.0,1,1
2026-05-20T09:46:46.137970,4.84,1225.69,1.197,0.0,0.0,1,1
2026-05-20T09:46:49.253277,3.87,3270.73,3.1941,0.0,0.0,1,1
2026-05-20T09:46:52.363317,3.9,1243.13,1.214,0.0,0.0,1,1
2026-05-20T09:46:55.506192,2.72,2922.61,2.8541,0.0,0.0,1,1
2026-05-20T09:46:58.641237,4.0,1314.67,1.2839,0.0,0.0,1,1
2026-05-20T09:47:01.772396,5.07,2811.67,2.7458,0.0,0.0,1,1
2026-05-20T09:47:04.871116,3.86,3015.04,2.9444,0.0,0.0,1,1
2026-05-20T09:47:08.034591,2.78,1132.41,1.1059,0.0,0.0,1,1
2026-05-20T09:47:11.141848,3.83,2653.57,2.5914,0.0,0.0,1,1
2026-05-20T09:47:14.212814,3.77,4686.37,4.5765,0.0,0.0,1,1
2026-05-20T09:47:17.396097,2.98,690.12,0.6739,0.0,0.0,1,1
2026-05-20T09:47:20.531522,4.17,3389.68,3.3102,0.0,0.0,1,1
2026-05-20T09:47:23.694648,3.95,1221.36,1.1927,0.0,0.0,1,1
2026-05-20T09:47:26.765217,4.2,3328.15,3.2501,0.0,0.0,1,1
2026-05-20T09:47:29.897649,2.9,1094.19,1.0685,0.0,0.0,1,1
2026-05-20T09:47:33.014069,4.31,1441.96,1.4082,0.0,0.0,1,1
2026-05-20T09:47:36.109261,4.18,676.75,0.6609,0.0,0.0,1,1
2026-05-20T09:47:39.224959,3.94,1288.72,1.2585,0.0,0.0,1,1
2026-05-20T09:47:42.351391,3.6,2048.75,2.0007,0.0,0.0,1,1
2026-05-20T09:47:45.496471,3.46,1049.33,1.0247,0.0,0.0,1,1
2026-05-20T09:47:48.593594,3.75,3154.5,3.0806,0.0,0.0,1,1
2026-05-20T09:47:51.755986,3.66,1325.11,1.2941,0.0,0.0,1,1
2026-05-20T09:47:54.887529,4.4,1065.69,1.0407,0.0,0.0,1,1
2026-05-20T09:47:57.993653,3.13,3283.86,3.2069,0.0,0.0,1,1
2026-05-20T09:48:01.078656,4.98,1530.91,1.495,0.0,0.0,1,1
2026-05-20T09:48:04.211569,2.99,2974.42,2.9047,0.0,0.0,1,1
2026-05-20T09:48:07.283932,4.1,2764.41,2.6996,0.0,0.0,1,1
2026-05-20T09:48:10.409396,3.15,1264.15,1.2345,0.0,0.0,1,1
2026-05-20T09:48:13.536895,5.77,1230.63,1.2018,0.0,0.0,1,1
2026-05-20T09:48:16.685979,3.53,1367.67,1.3356,0.0,0.0,1,1
2026-05-20T09:48:19.807704,3.69,1730.06,1.6895,0.0,0.0,1,1
2026-05-20T09:48:22.939701,3.11,2612.87,2.5516,0.0,0.0,1,1
2026-05-20T09:48:26.094824,4.84,1199.06,1.171,0.0,0.0,1,1
2026-05-20T09:48:29.284628,4.09,866.52,0.8462,0.0,0.0,1,1
2026-05-20T09:48:32.418872,3.11,2941.82,2.8729,0.0,0.0,1,1
2026-05-20T09:48:35.491434,3.05,2854.72,2.7878,0.0,0.0,1,1
2026-05-20T09:48:38.623366,3.73,1613.35,1.5755,0.0,0.0,1,1
2026-05-20T09:48:41.733761,3.91,556.8,0.5437,0.0,0.0,1,1
2026-05-20T09:48:44.865879,4.96,1005.71,0.9821,0.0,0.0,1,1
2026-05-20T09:48:48.029505,4.87,1122.37,1.0961,0.0,0.0,1,1
2026-05-20T09:48:51.176766,3.98,2527.64,2.4684,0.0,0.0,1,1
2026-05-20T09:48:54.307758,3.79,1931.64,1.8864,0.0,0.0,1,1
2026-05-20T09:48:57.424965,4.17,2417.47,2.3608,0.0,0.0,1,1
2026-05-20T09:49:00.500042,5.22,1030.83,1.0067,0.0,0.0,1,1
2026-05-20T09:49:03.628914,3.81,2996.47,2.9262,0.0,0.0,1,1
2026-05-20T09:49:06.747130,4.54,720.08,0.7032,0.0,0.0,1,1
2026-05-20T09:49:09.885591,4.89,1273.99,1.2441,0.0,0.0,1,1
2026-05-20T09:49:13.002013,2.6,2610.43,2.5492,0.0,0.0,1,1
2026-05-20T09:49:16.098860,4.1,1324.06,1.293,0.0,0.0,1,1
2026-05-20T09:49:19.199007,2.85,912.62,0.8912,0.0,0.0,1,1
2026-05-20T09:49:22.301384,5.05,1294.99,1.2646,0.0,0.0,1,1
2026-05-20T09:49:25.388144,4.18,1105.44,1.0795,0.0,0.0,1,1
2026-05-20T09:49:28.469596,1.83,2917.52,2.8491,0.0,0.0,1,1
2026-05-20T09:49:31.598237,3.02,2878.73,2.8113,0.0,0.0,1,1
2026-05-20T09:49:34.720223,3.92,2234.88,2.1825,0.0,0.0,1,1
2026-05-20T09:49:37.827685,3.51,1265.25,1.2356,0.0,0.0,1,1
2026-05-20T09:49:40.937241,3.17,1250.72,1.2214,0.0,0.0,1,1
2026-05-20T09:49:44.093936,2.79,2965.48,2.896,0.0,0.0,1,1
2026-05-20T09:49:47.177918,5.07,1329.84,1.2987,0.0,0.0,1,1
2026-05-20T09:49:50.265531,5.37,982.7,0.9597,0.0,0.0,1,1
2026-05-20T09:49:53.354637,4.8,3015.59,2.9449,0.0,0.0,1,1
2026-05-20T09:49:56.471839,5.51,837.86,0.8182,0.0,0.0,1,1
2026-05-20T09:49:59.606765,4.94,850.15,0.8302,0.0,0.0,1,1
2026-05-20T09:50:02.691062,4.49,3039.63,2.9684,0.0,0.0,1,1
2026-05-20T09:50:05.841941,4.78,1102.28,1.0764,0.0,0.0,1,1
2026-05-20T09:50:08.912608,4.03,1702.84,1.6629,0.0,0.0,1,1
2026-05-20T09:50:11.992099,2.8,1787.95,1.746,0.0,0.0,1,1
2026-05-20T09:50:15.076157,1.88,2892.87,2.8251,0.0,0.0,1,1
2026-05-20T09:50:18.160089,1.79,2340.57,2.2857,0.0,0.0,1,1
2026-05-20T09:50:21.245291,1.94,612.64,0.5983,0.0,0.0,1,1
2026-05-20T09:50:24.330995,1.81,2858.86,2.7919,0.0,0.0,1,1
2026-05-20T09:50:27.402349,1.9,1030.95,1.0068,0.0,0.0,1,1
2026-05-20T09:50:30.489829,1.89,2712.78,2.6492,0.0,0.0,1,1
2026-05-20T09:50:33.556106,1.84,2887.15,2.8195,0.0,0.0,1,1
2026-05-20T09:50:36.615930,1.86,2889.14,2.8214,0.0,0.0,1,1
2026-05-20T09:50:39.701100,1.9,447.2,0.4367,0.0,0.0,1,1
2026-05-20T09:50:42.800950,2.12,2904.64,2.8366,0.0,0.0,1,1
2026-05-20T09:50:45.860885,1.86,2808.14,2.7423,0.0,0.0,1,1
2026-05-20T09:50:48.924852,1.91,2951.92,2.8827,0.0,0.0,1,1
2026-05-20T09:50:51.993557,1.87,2808.84,2.743,0.0,0.0,1,1
2026-05-20T09:50:55.054929,1.9,2916.51,2.8482,0.0,0.0,1,1
2026-05-20T09:50:58.120712,1.88,2958.94,2.8896,0.0,0.0,1,1
2026-05-20T09:51:01.183782,1.89,2855.7,2.7888,0.0,0.0,1,1
2026-05-20T09:51:04.246881,1.87,3178.1,3.1036,0.0,0.0,1,1
