timestamp,previous_mode,new_mode,trigger_type,rtt_ms,bandwidth_kbps,error_rate_pct,inference_ms,network_ok,bandwidth_ok,polls_confirmed,reason
2026-05-20 15:10:57,LOCAL,CLOUD,HYSTERESIS,20.37,393.09,0.00,183.18,1,1,3,
2026-05-20 15:11:28,CLOUD,LOCAL,FALLBACK,40.64,203.99,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:11:37,LOCAL,CLOUD,RECOVERY,0.49,7941.88,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:11:43,LOCAL,CLOUD,HYSTERESIS,13.02,138.97,0.00,175.09,1,1,3,
2026-05-20 15:12:14,CLOUD,LOCAL,FALLBACK,38.95,156.39,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:12:24,LOCAL,CLOUD,RECOVERY,0.55,6610.41,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:12:30,LOCAL,CLOUD,HYSTERESIS,0.58,5570.12,0.00,159.93,1,1,3,
2026-05-20 15:13:02,CLOUD,LOCAL,FALLBACK,42.05,180.54,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:13:17,LOCAL,CLOUD,RECOVERY,0.52,415.74,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:13:23,LOCAL,CLOUD,HYSTERESIS,0.52,7464.83,0.00,192.09,1,1,3,
2026-05-20 15:13:51,CLOUD,LOCAL,HYSTERESIS,180.57,51.29,0.00,252.13,1,0,3,
2026-05-20 15:13:53,CLOUD,LOCAL,FALLBACK,40.87,285.58,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:14:03,LOCAL,CLOUD,RECOVERY,0.59,7783.45,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:14:09,LOCAL,CLOUD,HYSTERESIS,14.18,8000.58,0.00,178.94,1,1,3,
2026-05-20 15:14:28,CLOUD,LOCAL,HYSTERESIS,195.42,46.89,0.00,270.99,1,0,3,
2026-05-20 15:14:34,LOCAL,CLOUD,HYSTERESIS,5.55,6099.70,0.00,222.51,1,1,3,
2026-05-20 15:15:04,CLOUD,LOCAL,FALLBACK,75.12,191.85,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 15:15:12,LOCAL,CLOUD,RECOVERY,0.53,6463.96,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 15:15:18,LOCAL,CLOUD,HYSTERESIS,0.53,637.49,0.00,286.88,1,1,3,
2026-05-20 15:15:46,CLOUD,LOCAL,FALLBACK,39.16,198.49,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
