timestamp,sample_id,scenario,mode,current_fps,average_fps,estimated_frames_total,rtt_ms,error_rate_pct,cpu_load,ram_usage,gpu_load,gpu_temp,frame_latency_ms,deepstream_alive
2026-05-21 11:08:27,49,cpu_stress,LOCAL,26.54,26.45,1583,0.56,0.0,65.57,84.08,92.9,56.5,37.68,1
2026-05-21 11:08:28,50,cpu_stress,LOCAL,26.54,26.45,1583,0.61,0.0,66.13,84.09,98.8,57.0,37.68,1
2026-05-21 11:10:30,1,memory_stress,LOCAL,25.85,25.36,252,0.56,0.0,67.21,95.46,98.2,52.5,38.68,1
2026-05-21 11:10:32,2,memory_stress,LOCAL,25.85,25.36,252,0.51,0.0,63.79,95.45,98.5,53.0,38.68,1
2026-05-21 11:10:34,3,memory_stress,LOCAL,25.85,25.36,252,0.56,0.0,61.9,95.46,98.6,53.0,38.68,1
2026-05-21 11:10:36,4,memory_stress,LOCAL,25.66,25.45,380,0.56,0.0,66.67,95.48,98.3,53.0,38.97,1
2026-05-21 11:10:38,5,memory_stress,LOCAL,25.66,25.45,380,0.63,0.0,62.71,95.47,98.9,53.5,38.97,1
2026-05-21 11:10:40,6,memory_stress,LOCAL,25.66,25.54,508,0.55,0.0,60.0,95.49,98.1,54.0,38.97,1
2026-05-21 11:10:42,7,memory_stress,LOCAL,25.66,25.54,508,0.6,0.0,66.67,95.52,98.5,53.5,38.97,1
2026-05-21 11:10:44,8,memory_stress,LOCAL,25.66,25.54,508,0.57,0.0,61.02,95.57,99.0,54.0,38.97,1
2026-05-21 11:10:46,9,memory_stress,LOCAL,25.44,25.51,635,0.56,0.0,59.02,95.54,98.3,54.0,39.31,1
2026-05-21 11:10:48,10,memory_stress,LOCAL,25.44,25.51,635,0.53,0.0,61.9,92.77,96.9,54.0,39.31,1
2026-05-21 11:10:50,11,memory_stress,LOCAL,25.92,25.56,764,0.58,0.0,60.66,94.46,98.6,53.5,38.58,1
2026-05-21 11:10:52,12,memory_stress,LOCAL,25.92,25.56,764,0.49,0.0,58.33,95.56,98.2,54.5,38.58,1
2026-05-21 11:10:54,13,memory_stress,LOCAL,25.92,25.56,764,0.58,0.0,67.74,95.58,72.6,54.0,38.58,1
2026-05-21 11:10:56,14,memory_stress,LOCAL,25.67,25.59,892,0.52,0.0,58.62,95.56,97.2,54.5,38.96,1
2026-05-21 11:10:58,15,memory_stress,LOCAL,25.67,25.59,892,0.55,0.0,60.66,95.57,97.9,54.5,38.96,1
2026-05-21 11:11:00,16,memory_stress,LOCAL,25.65,25.59,1020,0.57,0.0,58.62,95.57,98.7,54.5,38.99,1
2026-05-21 11:11:02,17,memory_stress,LOCAL,25.65,25.59,1020,0.57,0.0,59.32,95.59,98.5,54.5,38.99,1
2026-05-21 11:11:04,18,memory_stress,LOCAL,25.65,25.59,1020,0.56,0.0,59.02,95.6,98.3,55.0,38.99,1
2026-05-21 11:11:06,19,memory_stress,LOCAL,25.7,25.59,1148,0.61,0.0,59.32,95.61,98.7,55.0,38.91,1
